# HTTP verbs recovered from the CSS class on each doc page's request table
# (class="CHHttpRequest CHHttpRequest_<verb>"). The verb is never rendered as text in the
# docs - it is an image plus this class - so this is the only machine-readable source.
# 200 request blocks across 150 pages, 0 unparsed. The verb column is EVIDENCE.
#
# Two paths are marked CORRECTED: the CSS block provably exists and its verb is reliable, but
# the URL the block printed is wrong, so the path was fixed by hand against the raw HTML:
#   PUT .../orders/ack       - block printed the bySeller URL above it (copy-paste artifact);
#                              its heading, params table and example all say ack.
#   POST .../quickLabels/delete - block printed a bare /resto/api/v2/ (empty bold segment);
#                              completed from the same page's example URL.
#
# verb(s)	path	source_slug(s)	note
GET	/resto/api/v2/cashshifts/list	kassovye-smeny-v2	
GET	/resto/api/v2/cashshifts/payments/list/{sessionId}	kassovye-smeny-v2	
POST	/resto/api/v2/cashshifts/save	kassovye-smeny-v2	
GET,POST	/resto/api/v2/documents/internalTransfer	vnutrennie-peremescheniya	
GET	/resto/api/v2/documents/internalTransfer/byId	vnutrennie-peremescheniya	
GET	/resto/api/v2/documents/internalTransfer/byNumber	vnutrennie-peremescheniya	
GET,POST	/resto/api/v2/documents/menuChange	prikazy	
GET	/resto/api/v2/documents/menuChange/byId	prikazy	
GET	/resto/api/v2/documents/menuChange/byNumber	prikazy	
GET,POST	/resto/api/v2/documents/writeoff	akty-spisaniya	
GET	/resto/api/v2/documents/writeoff/byId	akty-spisaniya	
GET	/resto/api/v2/documents/writeoff/byNumber	akty-spisaniya	
GET	/resto/api/v2/entities/list	spravochniki	
GET	/resto/api/v2/entities/payInOutTypes/list	rabota-s-izyatiyami	
GET	/resto/api/v2/entities/periodSchedules	periody-deystviya	
GET	/resto/api/v2/entities/priceCategories	tsenovye-kategorii	
GET	/resto/api/v2/entities/priceCategories/byId	tsenovye-kategorii	
GET,POST	/resto/api/v2/entities/productScales	rabota-so-shkaloy-i-razmerami	
POST	/resto/api/v2/entities/productScales/delete	rabota-so-shkaloy-i-razmerami	
POST	/resto/api/v2/entities/productScales/restore	rabota-so-shkaloy-i-razmerami	
POST	/resto/api/v2/entities/productScales/save	rabota-so-shkaloy-i-razmerami	
POST	/resto/api/v2/entities/productScales/update	rabota-so-shkaloy-i-razmerami	
GET	/resto/api/v2/entities/productScales/{productScaleId}	rabota-so-shkaloy-i-razmerami	
POST	/resto/api/v2/entities/products/category/delete	polzovatelskie-kategorii	
GET,POST	/resto/api/v2/entities/products/category/list	polzovatelskie-kategorii	
POST	/resto/api/v2/entities/products/category/restore	polzovatelskie-kategorii	
POST	/resto/api/v2/entities/products/category/save	polzovatelskie-kategorii	
POST	/resto/api/v2/entities/products/category/update	polzovatelskie-kategorii	
POST	/resto/api/v2/entities/products/delete	elementy-nomenklatury	
POST	/resto/api/v2/entities/products/group/delete	nomenklaturnye-gruppy	
GET,POST	/resto/api/v2/entities/products/group/list	nomenklaturnye-gruppy	
POST	/resto/api/v2/entities/products/group/restore	nomenklaturnye-gruppy	
POST	/resto/api/v2/entities/products/group/save	nomenklaturnye-gruppy	
POST	/resto/api/v2/entities/products/group/update	nomenklaturnye-gruppy	
GET,POST	/resto/api/v2/entities/products/list	elementy-nomenklatury	
GET,POST	/resto/api/v2/entities/products/productScales	rabota-so-shkaloy-i-razmerami	
POST	/resto/api/v2/entities/products/restore	elementy-nomenklatury	
POST	/resto/api/v2/entities/products/save	elementy-nomenklatury	
POST	/resto/api/v2/entities/products/update	elementy-nomenklatury	
DELETE,GET,POST	/resto/api/v2/entities/products/{productId}/productScale	rabota-so-shkaloy-i-razmerami	
POST	/resto/api/v2/entities/quickLabels/delete	rabota-s-bystrym-menyu	CORRECTED
GET,POST	/resto/api/v2/entities/quickLabels/list	rabota-s-bystrym-menyu	
POST	/resto/api/v2/entities/quickLabels/save	rabota-s-bystrym-menyu	
POST	/resto/api/v2/entities/quickLabels/update	rabota-s-bystrym-menyu	
GET	/resto/api/v2/entities/{entityType}/ids	spravochniki	
POST	/resto/api/v2/images/delete	rabota-s-izobrazheniyami	
GET	/resto/api/v2/images/load?imageId={imageId}	rabota-s-izobrazheniyami	
POST	/resto/api/v2/images/save	rabota-s-izobrazheniyami	
POST	/resto/api/v2/payInOuts/addPayOut	rabota-s-izyatiyami	
GET	/resto/api/v2/payrolls/list	rabota-s-izyatiyami	
GET	/resto/api/v2/price	tseny-zadannye-prikazami	
GET	/resto/api/v2/reports/balance/counteragents	otchety-vv2	
GET	/resto/api/v2/reports/balance/stores	otchety-vv2	
GET	/resto/api/v2/reports/egais/marks/list	otchety-vv2	
POST	/resto/api/v2/reports/olap	olap-otchety-v2	
GET	/resto/api/v2/reports/olap/byPresetId/{presetId}	prednastroennye-olap-otchety-vv2	
GET	/resto/api/v2/reports/olap/columns	olap-otchety-v2	
GET	/resto/api/v2/reports/olap/presets	prednastroennye-olap-otchety-vv2	
GET	/resto/api/v2/reports/olap/presets/{presetType}	prednastroennye-olap-otchety-vv2	
POST	/resto/api/v2/reports/olap?key=99939171-551a-f54b-5163-366e773c40ac	primery-vyzova-olap-otchet-v2	
POST	/resto/api/v2/reports/olap?key=[token]	formirovanie-olap-otcheta-v-api	
POST	/resto/api/v2/reports/olap?key=b785c815-f06d-947c-3fb5-3052a2df7fd8	primery-vyzova-olap-otchet-v2	
